source_requirement_id,source_and_version,applicability,design_section,implementation_component,automated_test,retained_evidence,owner,status,dpo_confirmation_reference
DESIGN-2.3,Tammy Local-First Accounting and Direct SBR Design; 2026-07-19,External interactions are non-mandatory for the implemented diagnostics foundation; future local accounting and adapter behaviour are not implemented,Section 2.3 External interactions,apps/desktop/src/main/security.ts; apps/desktop/src/main/core-client.ts; apps/desktop/src/renderer,apps/desktop/src/main/security.test.ts; apps/desktop/tests/e2e/foundation.spec.ts,LOCAL_TESTS: pnpm desktop:test; LOCAL_DARWIN_ARM64_PACKAGED_E2E PASSED via pnpm desktop:e2e with remote fetch rejected; HOSTED_RESULTS: NOT_PRODUCED,Offline Architecture Owner,IMPLEMENTED_PARTIAL_TARGET,NOT_REQUIRED_FOR_FOUNDATION_CONTROL; DESIGN-3-ITEMS-1-8-REMAIN_OPEN
DESIGN-2.4,Tammy Local-First Accounting and Direct SBR Design; 2026-07-19,Plan 1 local evidence covers darwin-arm64 only; signed macOS and Windows 11 23H2 x64 release targets remain outside the unsigned foundation result,Section 2.4 Initial platform matrix,.github/workflows/foundation-ci.yml; .github/workflows/foundation-windows11-e2e.yml; apps/desktop/forge.config.ts; apps/desktop/playwright.config.ts,apps/desktop/tests/e2e/foundation.spec.ts; apps/desktop/src/main/process-check.test.ts,LOCAL_DARWIN_ARM64_PACKAGED_E2E PASSED via pnpm desktop:e2e; WINDOWS11_TARGET_STATUS NOT_YET_VERIFIED; WINDOWS_SERVER_SMOKE_ONLY-squirrel-windows-x64 NOT_PRODUCED and NOT WINDOWS 11 EVIDENCE; windows11-x64-foundation-evidence NOT_PRODUCED,Release Engineering Owner,IMPLEMENTED_PARTIAL_TARGET,DPO_CONFIRMATION_NOT_OBTAINED; DESIGN-3-ITEMS-1-8-REMAIN_OPEN
DESIGN-5.1,Tammy Local-First Accounting and Direct SBR Design; 2026-07-19,Offline desktop foundation renderer on the locally supported darwin-arm64 target; other platforms and future accounting surfaces are outside this evidence,Section 5.1 Renderer,apps/desktop/src/main/security.ts; apps/desktop/src/preload/index.ts; apps/desktop/src/renderer,apps/desktop/src/main/security.test.ts; apps/desktop/src/main/ipc.test.ts; apps/desktop/tests/e2e/foundation.spec.ts,LOCAL_TESTS: pnpm desktop:test; LOCAL_DARWIN_ARM64_PACKAGED: pnpm desktop:e2e; HOSTED_RESULTS: NOT_PRODUCED,Desktop Security Owner,IMPLEMENTED_PARTIAL_TARGET,NOT_REQUIRED_FOR_FOUNDATION_CONTROL; DESIGN-3-ITEMS-1-8-REMAIN_OPEN
DESIGN-5.2,Tammy Local-First Accounting and Direct SBR Design; 2026-07-19,Electron main-process supervision and renderer mediation for the offline diagnostics foundation on local darwin-arm64 only,Section 5.2 Electron main process,apps/desktop/src/main/core-process.ts; apps/desktop/src/main/core-client.ts; apps/desktop/src/main/ipc.ts; apps/desktop/src/main/index.ts,apps/desktop/src/main/core-process.test.ts; apps/desktop/src/main/core-client.test.ts; apps/desktop/src/main/ipc.test.ts; apps/desktop/src/main/index.test.ts,LOCAL_TESTS: pnpm desktop:test; LOCAL_DARWIN_ARM64_PACKAGED: pnpm desktop:e2e; HOSTED_RESULTS: NOT_PRODUCED,Desktop Platform Owner,IMPLEMENTED_PARTIAL_TARGET,NOT_REQUIRED_FOR_FOUNDATION_CONTROL; DESIGN-3-ITEMS-1-8-REMAIN_OPEN
DESIGN-5.3,Tammy Local-First Accounting and Direct SBR Design; 2026-07-19,Loopback Go core transport and parent-pipe lifecycle for the offline diagnostics foundation; no credential store or SBR transport is implemented,Section 5.3 Go core process,services/core/internal/transport/server.go; services/core/internal/transport/capability.go; services/core/internal/transport/certificate.go; services/core/internal/transport/readiness.go; services/core/cmd/tammy-core/main.go,services/core/internal/transport/server_integration_test.go; services/core/internal/transport/capability_test.go; services/core/internal/transport/readiness_test.go; services/core/internal/transport/server_lifecycle_test.go; services/core/cmd/tammy-core/main_test.go,LOCAL_TESTS: go test -race ./services/core/...; LOCAL_DARWIN_ARM64_PACKAGED: pnpm desktop:e2e; HOSTED_RESULTS: NOT_PRODUCED,Core Platform Owner,IMPLEMENTED_PARTIAL_TARGET,DPO_CONFIRMATION_NOT_OBTAINED; DESIGN-3-ITEMS-1-8-REMAIN_OPEN
DESIGN-6,Tammy Local-First Accounting and Direct SBR Design; 2026-07-19,Repository and protobuf contract structure for the implemented diagnostics foundation subset only,Section 6 Repository and contract structure,proto/tammy/v1/system.proto; services/core/internal/gen/tammy/v1; packages/connect-client/src/gen/tammy/v1; buf.yaml; buf.gen.yaml,services/core/internal/contracts/system_proto_test.go; apps/desktop/src/main/core-client.integration.test.ts; scripts/check-proto-breaking.test.mjs,LOCAL_TESTS: pnpm proto:format:check; pnpm proto:lint; pnpm proto:breaking; pnpm proto:generate; pnpm test:proto-breaking,Contract Governance Owner,IMPLEMENTED_VERIFIED,NOT_REQUIRED_FOR_FOUNDATION_CONTROL; DESIGN-3-ITEMS-1-8-REMAIN_OPEN
DESIGN-10,Tammy Local-First Accounting and Direct SBR Design; 2026-07-19,Keyboard-accessible offline foundation diagnostics shell only; accounting navigation and workflows are not implemented,Section 10 Application shell and user interface,apps/desktop/src/renderer/app.tsx; apps/desktop/src/renderer/styles.css; apps/desktop/src/renderer/components,apps/desktop/src/renderer/app.test.tsx; apps/desktop/tests/e2e/foundation.spec.ts,LOCAL_TESTS: pnpm desktop:test; LOCAL_DARWIN_ARM64_PACKAGED: pnpm desktop:e2e; HOSTED_RESULTS: NOT_PRODUCED,Product Design Owner,IMPLEMENTED_PARTIAL_TARGET,NOT_REQUIRED_FOR_FOUNDATION_CONTROL; DESIGN-3-ITEMS-1-8-REMAIN_OPEN
DESIGN-11.1,Tammy Local-First Accounting and Direct SBR Design; 2026-07-19,Stable lifecycle and diagnostics errors for the foundation only; business validation and ATO response mappings are not implemented,Section 11 Error model,apps/desktop/src/main/core-process.ts; apps/desktop/src/main/core-client.ts; services/core/cmd/tammy-core/main.go,apps/desktop/src/main/core-process.test.ts; apps/desktop/src/main/core-client.test.ts; services/core/cmd/tammy-core/main_test.go,LOCAL_TESTS: pnpm desktop:test; go test -race ./services/core/...; HOSTED_RESULTS: NOT_PRODUCED,Application Platform Owner,IMPLEMENTED_PARTIAL_TARGET,DPO_CONFIRMATION_NOT_OBTAINED; DESIGN-3-ITEMS-1-8-REMAIN_OPEN
DESIGN-12.3,Tammy Local-First Accounting and Direct SBR Design; 2026-07-19,Reproducible unsigned foundation packaging with source revision and artifact hashes; signing SBOM scanning and release approval are not implemented,Section 12.3 Release security,scripts/write-build-manifest.mjs; apps/desktop/scripts/find-packaged-app.mjs; apps/desktop/forge.config.ts; compliance/build/toolchain.lock.json,scripts/write-build-manifest.test.mjs; apps/desktop/scripts/find-packaged-app.test.mjs; apps/desktop/tests/e2e/foundation.spec.ts,LOCAL_TESTS: pnpm desktop:package; LOCAL_DARWIN_ARM64_PACKAGED_E2E PASSED via pnpm desktop:e2e; SIGNED_RELEASE: NOT_PRODUCED; HOSTED_RESULTS: NOT_PRODUCED,Release Security Owner,IMPLEMENTED_PARTIAL_TARGET,DPO_CONFIRMATION_NOT_OBTAINED; DESIGN-3-ITEMS-1-8-REMAIN_OPEN
DESIGN-13.3,Tammy Local-First Accounting and Direct SBR Design; 2026-07-19,Contract compatibility and Connect interoperability for the implemented diagnostics foundation subset only,Section 13.3 Contract tests,proto/tammy/v1/system.proto; services/core/internal/contracts; apps/desktop/src/main/core-client.ts; scripts/check-proto-breaking.mjs,services/core/internal/contracts/system_proto_test.go; apps/desktop/src/main/core-client.integration.test.ts; scripts/check-proto-breaking.test.mjs,LOCAL_TESTS: pnpm proto:breaking; pnpm proto:generate; pnpm test:proto-breaking; go test -race ./services/core/...; pnpm desktop:test,Quality Engineering Owner,IMPLEMENTED_VERIFIED,NOT_REQUIRED_FOR_FOUNDATION_CONTROL; DESIGN-3-ITEMS-1-8-REMAIN_OPEN
DESIGN-13.5,Tammy Local-First Accounting and Direct SBR Design; 2026-07-19,Local darwin-arm64 packaged diagnostics E2E passed; full milestone workflows hosted macOS and Windows 11 23H2 x64 remain unverified,Section 13.5 Packaged end-to-end tests,apps/desktop/tests/e2e/foundation.spec.ts; apps/desktop/tests/e2e/process-check.ts; .github/workflows/foundation-ci.yml; .github/workflows/foundation-windows11-e2e.yml,apps/desktop/tests/e2e/foundation.spec.ts; apps/desktop/src/main/process-check.test.ts,LOCAL_DARWIN_ARM64_PACKAGED_E2E PASSED via pnpm desktop:e2e; WINDOWS11_TARGET_STATUS NOT_YET_VERIFIED; macos14-arm64-foundation-failure-evidence NOT_PRODUCED; WINDOWS_SERVER_SMOKE_ONLY-squirrel-windows-x64 NOT_PRODUCED and NOT WINDOWS 11 EVIDENCE; windows11-x64-foundation-evidence NOT_PRODUCED,Release Engineering Owner,IMPLEMENTED_PARTIAL_TARGET,DPO_CONFIRMATION_NOT_OBTAINED; DESIGN-3-ITEMS-1-8-REMAIN_OPEN
DESIGN-14,Tammy Local-First Accounting and Direct SBR Design; 2026-07-19,Initial foundation traceability validator threat model and retained local test classification only; the broader compliance structure and external approvals are not produced,Section 14 Compliance evidence,compliance/traceability/foundation.csv; compliance/threat-model/local-api-foundation.md; scripts/check-foundation-evidence.mjs,scripts/check-foundation-evidence.test.mjs,LOCAL_TESTS: node --test scripts/check-foundation-evidence.test.mjs; pnpm compliance:foundation; DPO_OSF_EVTE_CONFORMANCE_PVT_WHITELISTING: NOT_PRODUCED,Compliance Evidence Owner,IMPLEMENTED_PARTIAL_TARGET,DPO_CONFIRMATION_NOT_OBTAINED; DESIGN-3-ITEMS-1-8-REMAIN_OPEN
